time_s,body_x_m,body_y_m,body_z_m,body_dx_m,body_dy_m,body_dz_m,body_vx_m_s,body_vy_m_s,body_vz_m_s,body_wx_rad_s,body_wy_rad_s,body_wz_rad_s,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,m1_cmd_rad,m1_cmd_deg,m1_q_rad,m1_q_deg,m1_vel_rad_s,j1_q_rad,j2_q_rad,j3_q_rad,j4_q_rad,j1_q_deg,j2_q_deg,j3_q_deg,j4_q_deg,j1_vel_rad_s,j2_vel_rad_s,j3_vel_rad_s,j4_vel_rad_s,j1_tau_raw_nm,j2_tau_raw_nm,j3_tau_raw_nm,j4_tau_raw_nm,j1_tau_applied_nm,j2_tau_applied_nm,j3_tau_applied_nm,j4_tau_applied_nm,j1_clipped,j2_clipped,j3_clipped,j4_clipped,tail_tip_relative_rad,tail_tip_relative_deg,safety_tripped
4.1415,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1084179699,6.211892102,0.117539064,6.734492295,0.468711609,0.008276110665,0.006536366345,0.00465571989,0.003167108482,0.4741862119,0.3745062049,0.2667531003,0.1814619493,0.1275987546,0.005775782246,-0.02776660066,-0.01294652731,-0.1822020334,-0.1438058354,-0.102398071,-0.06966344008,-0.1822020334,-0.1438058354,-0.102398071,-0.06966344008,0,0,0,0,0.1401743694,8.031399762,0
4.147,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1113931178,6.382355516,0.1207236986,6.916958415,0.6338164053,0.007965949843,0.006465536363,0.004749351695,0.003286752085,0.4564153058,0.3704479459,0.2721178076,0.1883170228,-0.1202800341,-0.07798179041,0.02575323242,0.07669640768,-0.1751306165,-0.1421638182,-0.1045114905,-0.07238524227,-0.1751306165,-0.1421638182,-0.1045114905,-0.07238524227,0,0,0,0,0.1431912886,8.204256497,0
4.1525,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1142352507,6.545197739,0.1240789721,7.10920143,0.5749440873,0.007563608574,0.006069909433,0.00464325007,0.00337112776,0.4333628492,0.3477801925,0.2660386322,0.1931513928,-0.03747541263,-0.002223851673,-0.06092177292,-0.1017537747,-0.1663619132,-0.1335357837,-0.1020905798,-0.07406305694,-0.1663619132,-0.1335357837,-0.1020905798,-0.07406305694,0,0,0,0,0.145726868,8.349534496,0
4.158,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.116940975,6.70022432,0.1269897435,7.275976342,0.5348550042,0.007839830631,0.005878219438,0.004060678203,0.002719221789,0.4491892073,0.3367971649,0.232659723,0.155799932,0.03040505216,-0.0506497269,-0.1042101295,-0.1077348078,-0.1725066789,-0.1292701779,-0.08923071033,-0.05971514454,-0.1725066789,-0.1292701779,-0.08923071033,-0.05971514454,0,0,0,0,0.1474876935,8.450422369,0
4.1635,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1195070597,6.847250141,0.1301910949,7.459400267,0.589428758,0.007377552612,0.005457624801,0.003759717563,0.002505866726,0.4227026278,0.3126988673,0.2154159485,0.1435755874,-0.1116307241,-0.1342572506,-0.03088473901,0.04292359347,-0.1621945267,-0.1199334884,-0.08268290165,-0.05517199155,-0.1621945267,-0.1199334884,-0.08268290165,-0.05517199155,0,0,0,0,0.1492918566,8.553793298,0
4.169,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1219304406,6.986099638,0.1331148338,7.626918167,0.4519286878,0.006866341405,0.005055257336,0.003598950408,0.002483245837,0.3934123832,0.2896449097,0.206204669,0.142279506,-0.02653645047,-0.01600107188,-0.04545116982,-0.06230539095,-0.1510329745,-0.1111996603,-0.0791314578,-0.05456910302,-0.1510329745,-0.1111996603,-0.0791314578,-0.05456910302,0,0,0,0,0.1511186288,8.658459635,0
4.1745,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1242082239,7.116607011,0.1351009267,7.74071291,0.3276421186,0.00719348347,0.005056706455,0.00329190308,0.002098928482,0.4121562428,0.2897279381,0.1886121531,0.1202597435,0.04106365183,0.03581332904,-0.03056580891,-0.06828272073,-0.1582977,-0.1112833553,-0.07239130195,-0.04610814388,-0.1582977,-0.1112833553,-0.07239130195,-0.04610814388,0,0,0,0,0.1527419482,8.751468987,0
4.18,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1263376898,7.23861642,0.1368676044,7.841936086,0.3088954898,0.007126192693,0.005075632055,0.003412262975,0.002250012958,0.4083007653,0.2908122951,0.1955082671,0.1289162463,-0.04239970381,-0.02353842122,0.05921722548,0.1012553483,-0.1567338396,-0.1116403668,-0.07512900268,-0.04960154042,-0.1567338396,-0.1116403668,-0.07512900268,-0.04960154042,0,0,0,0,0.1547317051,8.86547366,0
4.1855,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1283162955,7.351982173,0.1382602686,7.921729863,0.1797306096,0.006974751049,0.005238362625,0.003774276795,0.002628652732,0.3996237983,0.30013607,0.2162501311,0.1506107073,0.0493372635,0.05305807178,0.04627830687,0.03717758104,-0.1534938603,-0.1152970358,-0.0830803678,-0.05786753768,-0.1534938603,-0.1152970358,-0.0830803678,-0.05786753768,0,0,0,0,0.1568763118,8.98835057,0
4.191,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1301416782,7.4565689,0.138938079,7.960565542,0.1114624747,0.00750898602,0.005689968631,0.00394259879,0.002626436844,0.4302332074,0.3260111881,0.225894271,0.1504837463,0.08008581211,0.1006323268,0.03622865302,-0.01187941456,-0.1652777783,-0.1252799422,-0.08677340202,-0.05776973115,-0.1652777783,-0.1252799422,-0.08677340202,-0.05776973115,0,0,0,0,0.1587060693,9.093187955,0
4.1965,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1318116583,7.552251713,0.1397069119,8.004616421,0.1700573487,0.007668773657,0.005930122713,0.004255919386,0.002938412495,0.4393883646,0.3397710035,0.2438462187,0.1683586344,-0.0301601225,0.0180746391,0.07502090398,0.09015493234,-0.1686828603,-0.1304807743,-0.09370524739,-0.06473522983,-0.1686828603,-0.1304807743,-0.09370524739,-0.06473522983,0,0,0,0,0.1605001402,9.195980642,0
