time_s,motor_cmd_rad_s,motor_angle_rad,motor_angle_deg,motor_velocity_rad_s,motor_effort_nm,motor_saturated,left_length_m,right_length_m,left_free_length_m,right_free_length_m,left_extension_m,right_extension_m,left_strain,right_strain,left_length_rate_m_s,right_length_rate_m_s,left_tension_n,right_tension_n,left_overstretch,right_overstretch,j0_q_rad,j0_q_deg,j0_qdot_rad_s,j0_passive_tau_nm,j1_q_rad,j1_q_deg,j1_qdot_rad_s,j1_passive_tau_nm,j2_q_rad,j2_q_deg,j2_qdot_rad_s,j2_passive_tau_nm,j3_q_rad,j3_q_deg,j3_qdot_rad_s,j3_passive_tau_nm,j4_q_rad,j4_q_deg,j4_qdot_rad_s,j4_passive_tau_nm,safety_tripped
0.041,0,6.890541199e-47,3.947989292e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-6.035937744e-29,-3.458337581e-27,6.163221413e-28,3.923359534e-29,1.43611082e-28,8.228308887e-27,1.805610842e-27,-9.334720327e-29,6.298814853e-29,3.60895507e-27,2.030656049e-27,-4.094229655e-29,-8.847666958e-29,-5.069339752e-27,-9.152190194e-27,5.750983523e-29,-1.715217412e-28,-9.827471867e-27,3.016708914e-27,1.114891318e-28,0
0.043,0,7.230814838e-47,4.142951727e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-5.820604209e-29,-3.334960554e-27,1.352349545e-27,3.783392736e-29,1.461470063e-28,8.37360665e-27,9.645649958e-28,-9.499555411e-29,6.433184796e-29,3.685943376e-27,-2.410939655e-28,-4.181570118e-29,-1.004138413e-28,-5.753289309e-27,-3.869289001e-27,6.526899683e-29,-1.693150948e-28,-9.701040342e-27,-1.701314171e-28,1.100548116e-28,0
0.045,0,7.571088478e-47,4.337914161e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-5.458009189e-29,-3.127208911e-27,2.090474114e-27,3.547705973e-29,1.47096048e-28,8.427982736e-27,1.731735682e-28,-9.561243122e-29,6.058540346e-29,3.471287918e-27,-2.832913899e-27,-3.938051225e-29,-1.007007883e-28,-5.769730165e-27,2.061364347e-27,6.545551241e-29,-1.742005026e-28,-9.980953586e-27,-3.785750965e-27,1.132303267e-28,0
0.047,0,7.911362117e-47,4.532876595e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-4.946089601e-29,-2.833900592e-27,2.843522621e-27,3.21495824e-29,1.462916901e-28,8.38189642e-27,-7.793062873e-28,-9.508959855e-29,5.228569608e-29,2.995749714e-27,-4.809214906e-27,-3.398570245e-29,-9.024940419e-29,-5.170909964e-27,6.883995389e-27,5.866211273e-29,-1.855697236e-28,-1.063236197e-26,-6.664030031e-27,1.206203203e-28,0
0.049,0,8.251635756e-47,4.727839029e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-4.281163434e-29,-2.452925962e-27,3.615158391e-27,2.782756232e-29,1.43207931e-28,8.20521004e-27,-2.043055474e-27,-9.308515516e-29,4.163266352e-29,2.38537591e-27,-5.438818549e-27,-2.706123129e-29,-7.312256116e-29,-4.189614142e-27,9.197792471e-27,4.752966475e-29,-2.007166641e-28,-1.150021773e-26,-7.869794803e-27,1.304658316e-28,0
0.051,0,8.591909396e-47,4.922801463e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-3.461133525e-29,-1.983083433e-27,4.389589666e-27,2.249736792e-29,1.371759026e-28,7.859600272e-27,-3.635627714e-27,-8.916433671e-29,3.174795071e-29,1.819023584e-27,-4.446673497e-27,-2.063616796e-29,-5.523923975e-29,-3.164975301e-27,8.400260747e-27,3.590550583e-29,-2.156817366e-28,-1.235765322e-26,-6.988852833e-27,1.401931288e-28,0
0.053,0,8.932183035e-47,5.117763898e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-2.489918005e-29,-1.42661793e-27,5.128290867e-27,1.618446704e-29,1.276913304e-28,7.316174312e-27,-5.414845096e-27,-8.299936475e-29,2.560643325e-29,1.467140554e-27,-2.116755809e-27,-1.664418161e-29,-4.249633363e-29,-2.434860562e-27,4.874446913e-27,2.762261686e-29,-2.264796862e-28,-1.297633016e-26,-4.252032943e-27,1.47211796e-28,0
0.055,0,9.272456675e-47,5.312726332e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.381469165e-29,-7.915235271e-28,5.775279378e-27,8.979549575e-30,1.147074641e-28,6.572253571e-27,-7.106843189e-27,-7.455985166e-29,2.49901778e-29,1.431831717e-27,7.882622793e-28,-1.624361557e-29,-3.89094202e-29,-2.229345561e-27,-1.397685831e-28,2.529112313e-29,-2.303203565e-28,-1.319638437e-26,-4.543072797e-28,1.497082317e-28,0
0.057,0,9.612730314e-47,5.507688766e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.617882023e-30,-9.269781169e-29,6.269647004e-27,1.051623315e-30,9.881018641e-29,5.661406654e-27,-8.381424254e-27,-6.422662117e-29,2.980948577e-29,1.707957724e-27,3.265772973e-27,-1.937616575e-29,-4.536795e-29,-2.59939206e-27,-4.948577639e-27,2.94891675e-29,-2.264358309e-28,-1.297381744e-26,3.304231107e-27,1.471832901e-28,0
0.059,0,9.953003954e-47,5.7026512e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,1.132076741e-29,6.486321935e-28,6.56159191e-27,-7.358498817e-30,8.120801064e-29,4.652876273e-27,-8.951279229e-27,-5.278520692e-29,3.801921949e-29,2.178340817e-27,4.394294942e-27,-2.471249267e-29,-5.940213994e-29,-3.403491913e-27,-7.951525682e-27,3.861139096e-29,-2.162551672e-28,-1.239050838e-26,5.971743101e-27,1.405658587e-28,0
