time_s,motor_angle_rad,motor_velocity_rad_s,motor_frequency_hz,motor_effort_nm,left_length_m,right_length_m,left_rest_length_m,right_rest_length_m,left_delta_length_m,right_delta_length_m,left_length_velocity_m_s,right_length_velocity_m_s,left_force_n,right_force_n,j0_deg,j1_deg,j2_deg,j3_deg,j4_deg,left_tau_j0_nm,left_tau_j1_nm,left_tau_j2_nm,left_tau_j3_nm,left_tau_j4_nm,right_tau_j0_nm,right_tau_j1_nm,right_tau_j2_nm,right_tau_j3_nm,right_tau_j4_nm,total_tau_j0_nm,total_tau_j1_nm,total_tau_j2_nm,total_tau_j3_nm,total_tau_j4_nm,left_anchor_fx_n,left_anchor_fy_n,left_anchor_fz_n,right_anchor_fx_n,right_anchor_fy_n,right_anchor_fz_n,force_residual_n,torque_residual_nm,safety_tripped
3.548,4.78108422391,241.382609645,38.4172355014,-100,0.244382627449,0.259853746165,0.280896914076,0.280896914076,-0.0365142866276,-0.0210431679113,3.23621067103,3.15213161511,-697.923625842,-389.342042075,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.54925,5.08281248597,241.382609645,38.4172355014,-100,0.242821144743,0.26216581691,0.280896914076,0.280896914076,-0.0380757693331,-0.0187310971661,-0.824903794822,3.15648669093,-769.76442461,-343.057076412,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5505,5.38454074802,241.382609645,38.4172355014,-100,0.239478060654,0.267778542083,0.280896914076,0.280896914076,-0.0414188534221,-0.0131183719934,0.988157280452,7.03904819935,-818.495495638,-191.976957875,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.55175,5.68626901008,241.382609645,38.4172355014,-100,0.233639131282,0.275813309803,0.280896914076,0.280896914076,-0.0472577827945,-0.00508360427387,-5.70556785046,8.69022551592,-1002.21133439,-14.7698303183,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.553,5.98799727214,241.382609645,38.4172355014,-100,0.227352762954,0.284538552721,0.280896914076,0.280896914076,-0.0535441511225,0.00364163864443,1.02063511909,7.17109120283,-1060.67667126,144.543684917,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.55425,6.28972553419,241.382609645,38.4172355014,-100,0.217739435574,0.294806673176,0.280896914076,0.280896914076,-0.0631574785021,0.0139097590998,-11.3993544631,11.6600474866,-1377.14311467,394.795656862,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5555,6.59145379625,241.382609645,38.4172355014,-100,0.210291940031,0.302866338145,0.280896914076,0.280896914076,-0.070604974045,0.0219694240682,3.93486614993,4.44045848816,-1372.7508194,483.793066245,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.55675,6.8931820583,241.382609645,38.4172355014,-100,0.198475113571,0.311936259392,0.280896914076,0.280896914076,-0.082421800505,0.0310393453155,-16.7879352528,11.6923530729,-1816.31536263,737.710437039,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.558,7.19491032036,241.382609645,38.4172355014,-100,0.192964621883,0.316680066312,0.280896914076,0.280896914076,-0.087932292193,0.035783152236,10.5362148547,0.325261793038,-1653.28369531,718.915662651,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.55925,7.49663858241,241.382609645,38.4172355014,-100,0.182685757752,0.322209056935,0.280896914076,0.280896914076,-0.0982111563243,0.0413121428591,-18.9279931121,9.41377662251,-2153.50305761,920.380623406,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5605,7.67767553965,-241.382609645,-38.4172355014,100,0.184564037176,0.321928845201,0.280896914076,0.280896914076,-0.0963328769003,0.0410319311242,22.3988434608,-5.46270720446,-1702.6691034,766.011550439,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.56175,7.37594727759,-241.382609645,-38.4172355014,100,0.185058372267,0.320857480541,0.280896914076,0.280896914076,-0.095838541809,0.0399605664647,-9.43753505094,4.00747104496,-2011.14618669,839.286039743,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.563,7.07421901554,-241.382609645,-38.4172355014,100,0.196101066099,0.314490038099,0.280896914076,0.280896914076,-0.0847958479774,0.0335931240222,23.0819917173,-8.43485106219,-1465.09704237,587.513969822,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.56425,6.77249075348,-241.382609645,-38.4172355014,100,0.202340322978,0.308936140776,0.280896914076,0.280896914076,-0.0785565910981,0.0280392266995,-1.32709762509,-0.308121391163,-1584.40279821,557.703320078,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5655,6.47076249142,-241.382609645,-38.4172355014,100,0.213922085934,0.299400722475,0.280896914076,0.280896914076,-0.0669748281428,0.0185038083987,18.4554497587,-9.42200418948,-1154.94206527,275.85612608,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.56675,6.16903422937,-241.382609645,-38.4172355014,100,0.221330953925,0.290952142811,0.280896914076,0.280896914076,-0.0595659601516,0.0100552287347,2.9667189388,-3.75807397385,-1161.65201365,163.523834956,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
