time_s,root_q_rad,root_q_deg,j1_q_rad,j2_q_rad,j3_q_rad,j4_q_rad,j1_q_deg,j2_q_deg,j3_q_deg,j4_q_deg,tip_angle_rad,tip_angle_deg,j1_vel_rad_s,j2_vel_rad_s,j3_vel_rad_s,j4_vel_rad_s,j1_tau_nm,j2_tau_nm,j3_tau_nm,j4_tau_nm
22.256,-0.01131191641,-0.6481250685,0.02679764653,-0.08199052322,0.1253959402,-0.06931298378,1.535392047,-4.697710941,7.184658143,-3.971341436,0.0008900797549,0.05099781338,-0.108645591,-3.717508973,8.951517483,-6.39298882,-0.05,0.05,-0.05,0.05
22.268,-0.001917673908,-0.1098746214,-0.03001379085,0.07942271236,-0.1301814099,0.0933484417,-1.719663543,4.550586216,-7.458845361,5.348471733,0.01257595326,0.7205490453,1.32801696,2.381279366,-7.965314904,6.117180751,0.05,-0.05,0.05,-0.05
22.28,-0.015189216,-0.8702779709,0.03484727152,-0.09245931874,0.1343825002,-0.07086293278,1.996601586,-5.29752874,7.6995501,-4.060146972,0.005907520159,0.3384759725,-1.179561996,-2.588488053,8.467805925,-6.372096164,-0.05,0.05,-0.05,0.05
22.292,0.000536588996,0.03074428481,-0.0464151689,0.1100545199,-0.1567918696,0.104232075,-2.659393284,6.305659508,-8.983512389,5.972057989,0.01107955647,0.6348118243,-1.686790892,7.870430473,-12.89224221,7.811983792,0.05,-0.05,0.05,-0.05
22.304,-0.02082398551,-1.193126482,0.03848138676,-0.08946210295,0.1517199486,-0.0944148222,2.204821051,-5.125800925,8.692912722,-5.409570835,0.006324410202,0.3623620125,4.996515004,-17.55478351,30.59530939,-20.16331585,-0.05,0.05,-0.05,0.05
22.316,-0.001424324661,-0.08160779171,-0.0384812565,0.062711235,-0.03438016448,0.007210443588,-2.204813588,3.593089094,-1.969838323,0.413127986,-0.002939742393,-0.168434832,-11.67150173,32.82267433,-50.3211139,30.85322188,0.05,-0.05,0.05,-0.05
22.328,-0.01152929203,-0.6605797742,-0.01105798169,0.02094607218,0.02766281863,-0.03815062176,-0.6335756809,1.200121533,1.584962757,-2.185869613,-0.0005997126446,-0.03436100346,10.32718893,-26.69728174,42.16300134,-27.18660416,0.05,-0.05,-0.05,0.05
22.34,-0.01258077161,-0.7208251161,0.002422563384,0.01638796173,-0.02542455313,0.01593599506,0.1388026575,0.9389610417,-1.45671959,0.9130652592,0.009321967041,0.5341093682,-8.342941395,24.02249559,-41.67302855,27.77996028,-0.04495345306,-0.05,0.05,-0.05
22.352,-0.01129601669,-0.6472140815,0.02416760422,-0.06934963212,0.09605387523,-0.04840477703,1.384701723,-3.973441231,5.503481657,-2.773389432,0.002467070307,0.1413527164,2.261504667,-12.74457079,21.55741462,-12.95588622,-0.05,0.05,-0.05,0.05
22.364,0.001439653865,0.08248609041,-0.01912297868,0.02087379555,-0.05390756745,0.05888635137,-1.09566597,1.195980387,-3.088676099,3.373939404,0.00672960079,0.3855777231,1.776839683,-1.826837952,-0.727469078,1.970080783,0.05,-0.05,0.05,-0.05
22.376,0.00157665319,0.09033557354,-0.02175116815,0.01279507406,-0.01628189258,0.02658764507,-1.246250135,0.7331037421,-0.9328837275,1.52335985,0.001349658387,0.07732972938,-6.144568294,18.37702426,-27.62335796,16.42218424,0.05,-0.05,0.05,-0.05
22.388,-0.007586177157,-0.4346559338,-0.006378256495,0.01524969387,-0.02890028515,0.0285136279,-0.3654471778,0.8737430977,-1.655864366,1.633710537,0.00848478013,0.4861420916,-3.720799852,14.48056629,-24.87562305,15.60790825,0.05,-0.05,0.05,-0.05
22.4,-0.005678532781,-0.3253559622,-0.01206402489,0.02430443815,-0.03010604753,0.02040154558,-0.6912177104,1.392541729,-1.724949461,1.168922458,0.002535911312,0.1452970154,-7.348619716,15.5915596,-18.77229204,9.403671234,0.05,-0.05,0.05,-0.05
22.412,-0.0067443141,-0.3864207336,-0.007159422644,0.01487719818,-0.009476330438,-0.0002580170215,-0.4102047013,0.8524006667,-0.5429537394,-0.01478328638,-0.002016571924,-0.1155410603,-3.900165293,13.50931173,-23.95632301,15.55860875,0.05,-0.05,0.05,-0.009882234278
